,id,name
0,10,Star Wars Collection
1,84,Indiana Jones Collection
2,119,The Lord of the Rings Collection
3,131,Three Colors Collection
4,151,Star Trek: The Original Series Collection
5,230,The Godfather Collection
6,263,The Dark Knight Collection
7,264,Back to the Future Collection
8,295,Pirates of the Caribbean Collection
9,304,Ocean's Collection
10,328,Jurassic Park Collection
11,399,Predator Collection
12,420,The Chronicles of Narnia Collection
13,432,Cube Collection
14,456,Sissi Collection
15,495,Shaft Collection
16,498,Heart of Gold Collection
17,528,The Terminator Collection
18,529,Wallace & Gromit Collection
19,556,Spider-Man Collection
20,645,James Bond Collection
21,656,Saw Collection
22,735,Blade Collection
23,748,X-Men Collection
24,937,The Pink Panther (Original) Collection
25,945,Lethal Weapon Collection
26,1006,Austin Powers Collection
27,1241,Harry Potter Collection
28,1565,28 Days/Weeks Later Collection
29,1570,Die Hard Collection
30,1575,Rocky Collection
31,1582,Teenage Mutant Ninja Turtles (Original) Collection
32,1617,Erkan & Stefan Filmreihe
33,1657,Zorro Collection
34,1709,Planet of the Apes Original Collection
35,1733,The Mummy Collection
36,1960,Evil Dead Collection
37,1972,Ju-on Collection
38,1974,The Grudge Collection
39,2150,Shrek Collection
40,2248,Torrente Collection
41,2326,Underworld Collection
42,2344,The Matrix Collection
43,2366,The Jaws Collection
44,2396,Asterix and Obelix Collection
45,2467,Tomb Raider Collection
46,2602,Scream Collection
47,2643,Aces Go Places Collection
48,2704,The Bible Collection
49,2794,The Chronicles of Riddick Collection
50,2806,American Pie Collection
51,2883,Kill Bill Collection
52,2980,Ghostbusters Collection
53,3106,World of Watches Collection
54,3167,Ace Ventura Collection
55,3169,Dr. Dolittle Collection
56,3601,I Know What You Did Last Summer Collection
57,3963,The Crimson Rivers Collection
58,4246,Scary Movie Collection
59,4438,The Space Odyssey Series
60,4563,The Vengeance Collection
61,5039,Rambo Collection
62,5547,RoboCop Collection
63,7505,Elements Trilogy
64,8050,Highlander Collection
65,8091,Alien Collection
66,8354,Ice Age Collection
67,8537,Superman Collection
68,8580,The Karate Kid Collection
69,8581,A Nightmare on Elm Street Collection
70,8650,Transformers Collection
71,8864,Final Destination Collection
72,8917,Hellraiser Collection
73,8918,The Hills Have Eyes (Reboot) Collection
74,8936,Bridget Jones Collection
75,8945,Mad Max Collection
76,8979,Wayne's World Collection
77,9046,A Chinese Ghost Story Collection
78,9088,The Little Polar Bear Collection
79,9309,Winnetou Collection
80,9328,Free Willy Collection
81,9329,Young Guns Collection
82,9332,Crocodile Dundee Collection
83,9338,Police Academy Collection
